name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Morning Run,Run,2024-01-27T17:44:20Z,5,82.5,141.1,3.217,6146.9,2577,True,167.0,4.512,1911,Run,66.6,3,0,0
Afternoon Run,Run,2024-01-26T23:15:08Z,1,79.6,119.8,2.506,1841.7,804,True,137.0,4.046,735,Run,2.5,5,0,0
Afternoon Run,Run,2024-01-24T01:45:56Z,3,82.8,149.9,3.499,2792.1,1397,True,176.0,4.67,798,Run,3.9,3,0,0
Afternoon Run,Run,2024-01-23T00:04:54Z,2,80.6,138.4,2.959,6444.2,2579,True,159.0,3.728,2178,Run,11.7,3,2,0
Lunch Run,Run,2024-01-20T20:33:56Z,1,80.1,139.3,2.93,6585.8,2631,True,159.0,4.135,2248,Run,15.0,6,0,0
Evening Run,Run,2024-01-20T04:13:41Z,1,81.8,145.4,3.357,6565.3,2060,True,165.0,4.257,1956,Run,3.8,5,0,0
Afternoon Run,Run,2024-01-18T22:31:09Z,1,77.5,131.1,2.913,4975.6,1899,True,157.0,4.39,1708,Run,11.3,5,0,0
Afternoon Run,Run,2024-01-17T01:31:17Z,1,85.3,154.2,3.915,11272.1,4512,True,176.0,7.26,2879,Run,11.9,8,1,0
Afternoon Run,Run,2024-01-14T21:21:02Z,4,80.3,139.2,3.082,12881.7,5460,True,157.0,6.67,4180,Run,57.8,14,1,0
Lunch Run,Run,2024-01-13T19:11:35Z,2,79.0,128.8,2.915,6837.7,2585,True,144.0,3.604,2346,Run,13.3,7,0,0
Morning Run,Run,2024-01-12T16:58:24Z,1,82.4,142.5,3.152,9668.4,4456,True,157.0,4.798,3067,Run,15.3,6,0,0
Afternoon Run,Run,2024-01-10T22:14:13Z,3,80.2,133.7,2.89,6451.2,2252,True,148.0,4.399,2232,Run,6.5,7,2,0
Afternoon Run,Run,2024-01-10T01:16:47Z,1,,,3.856,8048.3,2393,False,,5.634,2087,Run,10.2,8,1,0
Afternoon Run,Run,2024-01-07T23:14:16Z,2,,,3.222,12880.1,4353,False,,5.298,3997,Run,23.7,7,0,0
Lunch Run,Run,2024-01-06T20:59:15Z,1,83.5,146.7,3.597,6439.2,2306,True,162.0,4.509,1790,Run,14.1,10,0,0
Afternoon Yoga,Yoga,2024-01-05T22:07:28Z,1,,116.4,0.0,0.0,5201,True,152.0,0.0,5201,Yoga,0,2,0,0
Afternoon Run,Run,2024-01-03T21:35:13Z,1,81.6,158.0,3.684,6634.2,1912,True,180.0,4.808,1801,Run,0.0,5,1,0
Afternoon Run,Run,2024-01-02T21:39:44Z,2,81.6,135.9,3.041,3284.8,1152,True,145.0,3.84,1080,Run,0.0,4,0,0
Afternoon Run,Run,2024-01-01T22:13:19Z,1,83.5,160.7,3.434,8059.9,2551,True,185.0,4.374,2347,Run,5.4,6,6,5
Afternoon Run,Run,2023-12-30T20:10:50Z,1,82.3,150.8,3.397,12881.9,3984,True,162.0,4.687,3792,Run,5.0,8,0,0
Afternoon Run,Run,2023-12-29T23:10:16Z,1,79.7,147.6,3.192,6454.1,2121,True,162.0,3.99,2022,Run,0.0,8,0,0
Afternoon Run,Run,2023-12-28T23:06:08Z,1,81.5,148.8,3.28,3444.0,1050,True,161.0,3.728,1050,Run,0.0,4,1,1
Afternoon Run,Run,2023-12-27T22:15:56Z,1,80.5,149.2,3.277,9667.5,3049,True,172.0,4.151,2950,Run,4.0,9,0,0
Afternoon Run,Run,2023-12-25T22:46:09Z,1,82.4,146.6,3.141,9796.0,3661,True,162.0,3.948,3119,Run,11.2,8,2,0
Lunch Run,Run,2023-12-24T18:55:23Z,1,82.6,146.3,3.332,6483.7,2005,True,164.0,4.133,1946,Run,5.1,9,0,0
Afternoon Run,Run,2023-12-23T23:05:07Z,1,82.4,148.4,3.362,4393.7,1473,True,164.0,4.642,1307,Run,4.6,5,0,0
Afternoon Run,Run,2023-12-22T22:43:35Z,1,83.6,159.4,3.421,3732.1,1130,True,172.0,4.996,1091,Run,4.0,5,0,0
Afternoon Run,Run,2023-12-22T22:36:57Z,1,83.9,149.1,3.495,1216.2,348,True,160.0,4.625,348,Run,0.0,3,1,1
Afternoon Run,Run,2023-12-21T21:47:05Z,2,81.3,144.8,3.197,3231.9,1011,True,160.0,3.801,1011,Run,0.0,2,0,0
Evening Run,Run,2023-12-20T00:08:19Z,1,80.4,144.3,2.891,4027.1,1616,True,161.0,3.897,1393,Run,0.0,0,0,0
Afternoon Run,Run,2023-12-17T22:47:57Z,1,78.9,141.4,3.054,4902.4,2790,True,157.0,4.213,1605,Run,5.2,4,0,0
Afternoon Stair-Stepper,StairStepper,2023-12-16T23:05:00Z,1,52.2,154.6,0.0,0.0,3114,True,179.0,0.0,3114,StairStepper,0,3,0,0
Afternoon Stair-Stepper,StairStepper,2023-12-15T21:40:35Z,1,74.8,129.3,0.0,0.0,2816,True,181.0,0.0,2816,StairStepper,0,3,0,0
