name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Tri Workout,Run,2023-09-20T01:09:41Z,11,90.6,,4.027,6145.2,3442,False,,6.307,1526,Run,0.0,11,4,3
yay for science easily acquired last week,Run,2023-09-18T13:55:50Z,2,90.2,,3.023,8188.8,3770,False,,4.187,2709,Run,5.5,10,2,0
someone play pick up vb with me plsss,Run,2023-09-17T16:14:30Z,2,90.4,,3.517,9682.4,3367,False,,4.633,2753,Run,25.5,10,3,3
Sydnie almost died by a car,Run,2023-09-15T14:14:38Z,2,90.2,,2.835,17127.8,6491,False,,6.915,6042,Run,14.9,11,3,0
too early,Run,2023-09-14T14:07:58Z,4,93.7,,3.452,6500.3,2477,False,,5.776,1883,Run,17.1,8,2,0
so much hw after this,Run,2023-09-14T00:29:10Z,2,88.8,,3.043,13719.9,5242,False,,4.39,4508,Run,17.6,10,1,0
Tri workout,Run,2023-09-13T01:00:28Z,1,90.5,,3.632,8732.5,5373,False,,8.634,2404,Run,0.0,9,5,2
other side of the pier !!,Run,2023-09-10T15:55:41Z,2,90.3,,3.106,12896.2,5643,False,,7.405,4152,Run,2.8,8,10,0
Brick Run,Run,2023-09-09T17:31:37Z,5,91.4,,3.332,4984.1,1496,False,,4.725,1496,Run,2.8,10,0,0
how to ride bike,Ride,2023-09-09T16:41:48Z,1,,,6.532,17807.4,2860,False,,11.974,2726,Ride,167.2,12,0,0
Too Hot to Handle,Run,2023-09-08T20:38:01Z,2,88.6,,3.129,16112.0,5484,False,,5.522,5149,Run,8.3,9,2,0
Evening Run,Run,2023-09-08T02:09:58Z,3,89.7,,3.166,7421.7,5116,False,,5.11,2344,Run,14.6,9,0,0
stoplights are everywhere,Run,2023-09-07T14:04:05Z,6,89.7,,3.251,8878.9,4050,False,,5.806,2731,Run,21.8,8,3,1
