name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Evening Ride,Ride,2024-03-01T02:48:48Z,1,,129.5,0.0,0.0,3357,True,154.0,0.0,3357,Ride,0,3,0,0
Afternoon Run,Run,2024-02-28T01:57:34Z,9,83.9,153.9,6.948808290155442,10620.0,5081,True,196.0,8.939,2751,Run,4.2,13,0,0
Evening Run,Run,2024-02-27T02:24:22Z,1,81.9,149.1,7.8176624890702415,8066.2,2351,True,159.0,3.657,2351,Run,0,8,0,0
Evening Run,Run,2024-02-26T04:46:13Z,1,78.3,133.1,9.252293894446362,3606.7,1244,True,151.0,3.763,1244,Run,0,5,0,0
Afternoon Run,Run,2024-02-23T22:40:50Z,1,85.2,162.7,7.110922587486745,9742.5,3020,True,186.0,5.752,2583,Run,18.0,10,4,2
Evening Run,Run,2024-02-23T01:27:26Z,1,,,8.001909307875897,8108.9,3092,False,,7.16,2419,Run,10.3,3,2,1
Evening Run,Run,2024-02-22T00:35:10Z,1,,,7.253217955651703,8388.0,10346,False,,8.32,2268,Run,16.1,6,0,0
Afternoon Run,Run,2024-02-18T21:28:29Z,1,83.5,152.1,7.237560712358339,12874.7,4258,True,186.0,5.957,3474,Run,28.0,9,5,2
Evening Run,Run,2024-02-17T03:24:03Z,1,80.6,156.6,7.628668941979522,7126.2,2857,True,171.0,4.596,2027,Run,0.0,5,0,0
Afternoon Run,Run,2024-02-16T01:18:34Z,1,80.1,117.3,8.887475149105368,455.8,230,True,130.0,4.168,151,Run,0.0,4,0,0
Evening Run,Run,2024-02-15T02:06:27Z,1,82.0,140.3,8.281074405680766,3530.7,1939,True,157.0,4.882,1090,Run,4.0,4,0,0
Evening Run,Run,2024-02-14T03:04:16Z,5,76.6,140.6,12.120379575237235,1391.9,1043,True,164.0,3.129,629,Run,0.0,4,0,0
Afternoon Run,Run,2024-02-14T01:58:33Z,5,84.2,155.0,6.881067213955875,8845.1,3661,True,186.0,6.7,2269,Run,3.9,4,0,0
Afternoon Run,Run,2024-02-12T23:57:50Z,2,80.8,144.4,8.340298507462686,6435.1,2187,True,160.0,5.141,2001,Run,12.8,11,0,0
Afternoon Run,Run,2024-02-12T01:45:45Z,1,83.6,147.8,7.654794520547947,9677.1,3521,True,166.0,4.653,2762,Run,27.7,8,4,1
